Text,Label
sirf yehi nahi bal ke radio par recording se qabal inhe audition awaaz ki qaulity ka imtehaan kea mal se bhi guzarna parha,Positive
phir aahista aahista un ki singing ne tabqa ishrafia ke drawing rooms cars ke sound systems aur video libraries mein jagah bana li,Positive
beron e mulk basne wale pakistani jab watan aate to doston aur aehbaab ki farmaiysh pori karne ke liye barhi tadaad mein in ke cassette tohfatan le kar jate,Positive
is tarah europe aur mashriq wastee mein bhi wo pakistan ki aik manoos aur maqbool awaaz ban gae,Positive
mein inho ne pehli martaba british ka tour kiya to wahan bhi dhoom macha di,Positive
diyar e ghair mein basne wale in ke songs sunn kar apno ko yaad karte to in ki aankhon se aansoo rawaan ho jate,Positive
naujawan ladke aur ladkiyan walihana raqs karte to gorey bhi be saakhti ke aalam mein in ka sath dete,Positive
england aamad o raft ka silsila shuru hua to aik pakistani nasaad british ladki ko dil de bethe,Positive
is tarah wo aaj tak sab ke lala he hain,Positive
yeh aezaaz ab tak attaullah esakhelvi ke paas he hai ke recording aur farokht hone wale cassettes mein sab se ziyada in ki singing ke he hote hain,Positive
inho ne hukomat e pakistan se tamgha e imtiaz hasil karne ke sath malika british se life time achievement award bhi hasil kiya hai,Positive
mein in ka naam sab se ziyada audio albums recorder karane wale singer ke hawale se guinness book of world record mein bhi darj tha,Positive
torkham se karachi tak truck drivers ka safar un ki awaaz ke sath hota hai,Positive
president ayyab khan mohtarma fatima jinnah baaz dosri shakhsiyat ki tasaweer to beshumaar trucks ke aqbii hisson par bani nazar aati hain lekin attaullah esakhelvi mulk ke wo wahid artist hain jin se wabistegi ka izhaar buses aur trucks ke piche tasweer banwa kar bhi kiya jata hai,Positive
she played a fantastic role in the drama serial aangan terha with shakeel siddiqui and saleem nasir late,Positive
bushra ansari received many more different prizes and awards in her life,Positive
she received an award of pride of performance and women life achievement award from benazir bhutto,Positive
she won the ptv award and lux style award also,Positive
bushra ansari performed interesting role in the film abhi to main jawan hon from geo tv,Positive
yeh beyk waqt actress singer host comedian and drama nigaar ke taur par pehchani jati hain,Positive
inka har andaaz munfarid aur har roop judagana hai,Positive
sanjeeda acting comedy parody singing hosting aur ab drama nigari,Positive
inho ne har field mein apna loha manwaya hai,Positive
jis se in ki do betiyan hain,Positive
intehai masroof aur mashoor fankara hone ke bawajood inho ne aik biwi aur maa ka role pori zimmedari se adaa kiya,Positive
bushra apni family se bohat ziyada attached hain aur fursat ka tamam waqt ghar walon ke sath he guzarti hain,Positive
career bushra ansari sirf saal ki umer mein he ptv ke children music show kalbon ki mala ki regular performer ban gai thin,Positive
to farooq qiaser ne inhe apne show kalliyan ke liye muntakhib kiya,Positive
is ke ilawa wo show ke deegar roles ke liye bhi songs gaya karti thin,Positive
bunyadi taur par yeh bahon ka show tha lekin ise har umar ke nazreen barhe shauq se dekha karte the,Positive
bushra ne sab se pehle iqbal ansari ke aik drama mein acting ke johar dikhaey,Positive
lekin bushra ko sab se ziyada shohrat anwar maqsood ke show shosha se mili,Positive
jis mein bushra ne bijli ka role adaa kar ke meyla loot liya,Positive
yeh character itna popular hua ke jab kabhi bushra ansari kisi show ke silsile mein beyron e mulk jati to in se bijli ka character karne ki farmaiysh ki jati,Positive
bushra ansari ka aik aur aeham show aangan terha hai jise anwar maqsood ne likha aur us mein inho ne shakeel siddiqui aur saleem nasir marhoom ke hamrah yadgar performance di,Positive
comedy shows ki bat ho to sab se pehle ptv ki tareekh ke maqbool tareen show fifty fifty ka naam zehan mein aata hai,Positive
is show ko maqboliyat ki bulandiyon tak pohnchane mein jahan ismail tara aur majid jahangir ki lajawab performance ka dakhal tha to bushra ansari ne bhi apni parodies ke zariye is show ko kamiyab banane mein koi kasar na chori,Positive
inho ne chehre ke tasurrat aur body language ke zariye in roles mein jaan daal di,Positive
bushra ansari ne har umer ke role adaa kiye hain jin mein young udherh aur old age sab he shamil hain,Positive
personality bushra ansari ko sirf acting mein he malka hasil nahi bal key eh aik shandar shakhsiyat ki bhi malik hain,Positive
yeh guzishta saal se mini screen par apni salahiyaton ke johar dikha rahi hain aur din ba din in ke har sitaron ki tadad mein izafa hota ja raha hai,Positive
kyun ke wo janti hain ke waqt ke sath sath apne kaam mein kya tabdeeli lai ja sakti hai,Positive
dilchasp harkaat dilkash personality aur khobsurat chehre ki malik bushra ansari har umar ke nazreen mein popular hain,Positive
chand maah qabal inho ne geo tv ke show dolly ki aaegi baraat mein saima chaudhry ka role play kar ke is serial ko mazeed dilchasp bana diya,Positive
yaar yeh be fitt ha,Positive
ap to hero ho autograph do na,Positive
autograph milay ga zroooor milay ga,Positive
hahahaha ye acha hai p,Positive
apka zehr mjh pe b nae axr kry ga i hv antizehr of ur zehr,Positive
haahahhan zrooryar mjhe acha lgta jb yeh ese post krte,Positive
hahahaaqasmay dil ki awaz h meri ye page d,Positive
aala d d,Positive
app k dil ki bhi,Positive
buht achi bat kahi he,Positive
uff yeh apki paakbaaz soch,Positive
cara jvd bilkul aisa hi kuch main apko b kehna chahti hn d,Positive
hahaha wah saen wah,Positive
baari ap to famous ho gai hain,Positive
hahaha ye time ni nikal skta u r too demanding girl,Positive
khushi se hori hy itne likes dekh k,Positive
ufff dono kis trha parri hain dd chalo na krwao p,Positive
akhir student kis k hnnnnn,Positive
ji bilkul paisaaa wasooool comments,Positive
aap tau millionaire ban jaen gee,Positive
pskistani jawano lagatay raho imran khan k doz aik din number one per aa jao gay tabdeeli,Positive
hahaha tum to hurr jaghaa famous ho,Positive
caption khass ap ky liye d,Positive
saas bahu ka rishta nawaz sharif r mamnoon hussain ko bhi peeche chore de,Positive
apnay kharchay khudd uthaa saknay wali independent aurat ko jo bghair kisi py depend kiye aur bghair kisi ki faaltu bakwaas sunay k g mein tou boht azeem aadmi hun k o biwi tumhara kharcha uthaa rha hun izzat k sath zindagi guzaar rhi ho ussay kehtay hain kaamyaab aurat,Positive
meri nazr me kamyab orath wo he jo khud mehnat or himmat kr k apna career bnaye or peso k lie kisi mrd ki mohtaj na ho,Positive
talaash jaari rakhein aap aik din kamyaab aurat banein gi,Positive
inshallah hum dono kaamyaab rhen apne naik iraadon meintune tou shiad dhond liyaya abhi bhi talaash jaari,Positive
pta ni kahan hoty hain aese kamyab mard,Positive
hehehehehe unmarried hona chahiye bs,Positive
oooppss to phle bolti na dash mjhe lga meri pysri dost mere liye soch rhi hai chal tu rakh lena,Positive
kamiyab aurat bnna chahti hun meri sadgi dikh mai kya chahti hun,Positive
mai khud kamyab bnna chahti ho samw khwab hai hmare yad nae tme,Positive
meri jesi kamiyabiyan na karna tum log go for a mzeed rich bitch,Positive
mil jae ga dnt worry,Positive
dekho wo hum ny reject krdia na ye b kaamyabi hi hoti hai,Positive
k mn kia hoga yr xd,Positive
abhi o party shoro hoi he,Positive
jo wife ko apni pay k mutabiq kharcha krae wohi kamyab mard hy,Positive
hahaha kal ki debate k baad kamyab aurat ka award aap ko jata hai,Positive
hahahaha shukria shukria,Positive
yani hum dono kamyab hain,Positive
kyn k tu khud ek kamyab aurat hai lol apni mehnat se,Positive
mere pas kamyaab maa hai,Positive
yeh tou hai mard apni biwi ki kismat say hi kamaata hai,Positive
hum hun gay kamyab aik din,Positive
mene dhoundh lia akhir i m lucky,Positive
hum honga kamyab aiek din,Positive
allah tallah hama b aisa hi banda da,Positive
hum no e kamyab hain,Positive
wo kya hai k meiny apny kharchy mukhtasir krny ka soch liya hai,Positive
hum kaamiyab hein,Positive
jab dono khameeyab haan tou bari kushe ki bat ha jasy men khmeeyab mard,Positive
allah khair kay ga,Positive
alhamdulillah me kamyab aurat,Positive
bilkul sahi kaha,Positive
bhai app kamyab hain,Positive
although ham nay apny kharchay kam kr liay han hahahahahahah,Positive
mashaallah allah pak sb k leay acha keray ameen,Positive
ameen han sana no extravagence,Positive
bt dil ko achi lgi,Positive
point pe hy puray,Positive
ye hoti hai kamyabi,Positive
koi ni perfectly imperfct tou mil jye ga,Positive
mil jaye ga apna dhondh ln phir tmhry leay b,Positive
haha acha chlo koshish krna dono bhai hon aur bara vala mra,Positive
haha pgl choty bhaie wali zyada faidy m hoty sb set hoa va milta jithani g,Positive
har pal har dum azam hmara sb sy perfct jo vo shakhs hmara,Positive
lkn phr b roub tou bari ka hi hota,Positive
yr wesy mil k sb ko set kr dyn gyn,Positive
ptq ni ab set krengy ya khud set hongy,Positive
bs sai wa swery fir uni da hostel done ay d,Positive
haha idea bura nai tha wesy chalo nxt sae,Positive
xactlycup apnaspoon apna sakoon apna,Positive
aisaaa hi hai,Positive
tere lye bday gft mil gya,Positive
koi issue nai bhale mera cup use karen beta meri bottle b har koi use karta hai,Positive
pyar bharta h ase,Positive
kiaa pata behna shareef ho,Positive
shareef hi hai,Positive
tm dost ho yar keh skti ho,Positive
me idhr b aisi hun apko islamabad ka shak pra rehta,Positive
alhumdulilah ghalazat to nhi hai,Positive
hahahhaahaha me to kahin sa b maesna ni lgta tumhain pta ni kaisay lgta,Positive
hahah hum bi apko sharif hi smjta han jnb,Positive
haha haha haye mei war jaon,Positive
tm mere kch kehne se pehle he smjh jatay ho sb,Positive
woh to mashaallah se meri qabliat hai,Positive
aur masoomiyat bhi,Positive
ye apke liye likha gaya hai area per square eench p,Positive
bhai main ek shareef insan hon p,Positive
yd h aik mohtrma hua krti ti shareeef tareeen bibi,Positive
hahamtlb main shareef nazar aati hun,Positive
wyse main shareef hun b,Positive
no galazaat,Positive
wo to shukar hy aesi technology ai nh abhi,Positive
shreef bcha,Positive
hn hn bohot shreef,Positive
bolti rahu but ma messani ni,Positive
bht saaaf or shareeef hun koi ghalazat nai,Positive
wah wah kia soch pyi hy shahneez,Positive
dair aye pr drust aye,Positive
hi rabi tu kitni famous hu gai,Positive
meray shareef dost,Positive
hell true waday tusi sharif hunh,Positive
han koi shak ni,Positive
pyari baat,Positive
ap k liay kuch khoobsurat batain,Positive
haha dafa karo aj kal ghlazat sy door he rehta hun d,Positive
ap b shreef hain isi leye mn apko shareef lgi,Positive
sahi kaha,Positive
shabash khabeesni sahi boli aik dum,Positive
aur tm safai se kr jati ho,Positive
saif tumhry kapry nusrat api pehan sakti hainnhi na tu phir,Positive
moqay py choka,Positive
sb hi mazay k hain,Positive
aja pilati,Positive
janeman sari chizaaay kehlaooo gi treat pr,Positive
dabba khali is liye ho ga kyun k tum kha chuki ho gi na,Positive
sharab pin gy wd sheesha sutty lgain gy jani sutty,Positive
ye ly or fkr na kr hm hain,Positive
peene wala bann aja tujhy sahi se coca cola pilaoga,Positive
buri bat achhy bchchy galiyan nhi dety,Positive
nhe tum itna taradud na kro bus aj ka mera bill tumhari taraf sa ma na sasta ma maaf kea,Positive
ap mahaan ho ap india chaly jao,Positive
anum tum kini pyari ho,Positive
bas bas bhan itna pyar na do samhala nae jay ga,Positive
aray is se b ziada don gi ane to do,Positive
achha krti ho,Positive
sae kha,Positive
allah ka shuakr hy ye tw hum per,Positive
changi gal hy,Positive
hum girls hn isliye judge kr skti hn but as a psychologist nhe kr sktienajeeb bat h mem ko btaen gy hum kr skti hn judge bcoz we r girls,Positive
tab main tumain btao ge na aur bhe maza ae ga,Positive
ya ya they have all rights to do that with out any regret,Positive
hahhahaha kesy hm apny points ko defend krty hy use hm bba krny k bad bhi lawyer bn skty hy,Positive
wo to hm bne bnaye hain,Positive
hehehe bs kbhi gharoor nhi keya,Positive
hahaha ap tu bhot masoom hain,Positive
dont care djudge kro hamen or saro,Positive
our aja khedeye is zada cute,Positive
uper waly portion will always welcome them,Positive
hahaha a jaoo yahe kam best haii ab,Positive
or check kr hamari predictions almost such b niklti then d hahaha,Positive
or baray achay say yeh kaam hum anjaam detay hain,Positive
bs dehko urdu agye parhna,Positive
hehehehe wo b spcl logn koo judge kia jataa naa meshhhhiii proud to b spcl one,Positive
tmara pasandeedaaa kam d,Positive
fav kaam hai hummara yaar,Positive
hmri jugjmnt kaml ki ha nw,Positive
hahahaha bht hi enjoy karty thy hm gari me fiza k sath b,Positive
o haan fiza hahha usy kdr bhool skty hahahha,Positive
hahahahahahahahaha chalo chalo naiki aur pooch pooch,Positive
tu jahan mein wahan meri aziz,Positive
men samjha ap ne likha h ao logon ko haj kratay hen lol,Positive
behtreen hogaya,Positive
jao ja k hajj kro,Positive
ajao yah hmara fvrt kam ha,Positive
hahaha hum to master hain is kaam mein,Positive
ajaoajj main mood main houn,Positive
haa sahi gaalh aaah,Positive
ao un k gunah kum krty hain,Positive
aur unhy pak krty hain,Positive
tbi wo white lgty hain,Positive
hmari tu prediction b sahe hoti hai,Positive
fiqr na faqaa aish kr kaka,Positive
jaani grand party hogi i am overexicted for your day tu lagdi lahore ki cause tera mohn chetaa hath kalay,Positive
hahahah hawn kh dn gii tm b mera taraf sy uncle aunty ko shukriya kh do,Positive
hahahahah idea axhw h api,Positive
jizroor mei apne aunty ka dilse shukriya ada krti huu,Positive
anty ko thanksss bolanty i love you thanku so much,Positive
mera to salam bol pair chhuuuh anti ne mjhe jo btya tha hahahahahahahahaha,Positive
yes of course im thankful to your parents namooni,Positive
aunty ka bhot bhot shukriya krdena meri trf se,Positive
phupo ko thanks bolin meri trf sy bht bht,Positive
uncle anti ko dill ke gahriyoen sa thanks bolna mere traf sa,Positive
aunty uncle ko yaad se thnku bolin meri taraf se,Positive
aunty k lie meri taraf se aik chummi idhr aik chummi idhr,Positive
woi naa khushaal gharanaaa hamra,Positive
bht shukria rna m apni dil diyan gallan kisko sunato,Positive
mairi taraf sy uncle aunty ko thanks bolna,Positive
uncle anty ko meri taraf syyyh buht buht shukriaaaa kehna,Positive
hahahah ok ok aur meri taraf say be uncle aunty ko shukriya keh dena,Positive
apny apny ami abu ko mri trf sy shukria bl dy,Positive
hahahaha meri trf se b uncle aunty ka dhanaywaad,Positive
kancha item dia h inshort,Positive
meri zindagi k tum anmol namonay,Positive
hahaha dekha hamari importance,Positive
dekh lo beta hum namono k bagair tumahara guzara bhi nahi,Positive
shukriya bht bht aapke parents ka k mujhe yeh gift diya unho ney,Positive
thank u uncle anty warna mai incmplte rh jati,Positive
shukr hy ye namoona peuda kya thanks to uncle aunty,Positive
by itkhtyr qahqa laga h myra tm b bst sy opr ho,Positive
hahahahahahahahahahhaha haso haso wanjo kri krto,Positive
tmahari ammi abu ka shukrea tmhari birthday pe kea tha ada mene ab tmhari b aari birthday unka b krungi,Positive
apni mama ko zarur thanks keh dena from my side loveeee bohat cute ho tm,Positive
aunty ko bhttt bhttt shukriya kehna,Positive
hahahahaha bas bas is khushi mai kal dilpasnd ki meethai le aana,Positive
humy k parents ka shukriya krna chahiye,Positive
uncle aunty ko meri trf se topon ki salamiii,Positive
aunty ko mri trf se thanku bol dena with kissy,Positive
its a great pleasure,Positive
mn khudhh aungi specially,Positive
dill ki gehraion se dhanywaar,Positive
thanks boldena meri taraf se,Positive
thank u bol apne parents ko meri taraf se,Positive
hahah wai i owe a special thankyou party to uncle n aunty then,Positive
d ke la ma ta tag kolibtw a big thankooo,Positive
beshak kissi or k bas ka kaam nh ya,Positive
sana butt should i tag your mama,Positive
tum na paida hti to kya hta mra,Positive
mama ko zaroor thanks kahin,Positive
k momy daddy apka thankyu,Positive
thank u mommy daddy tu tau nawafil parh apne ami abu k liye iykwim,Positive
yeah cx they deserv akhir koi km karnama nae kia shukrany k nafanil ada krny hi chaheay,Positive
meri taraf se bohat shukriya p,Positive
aunty specaily ap ka bht shukriya,Positive
antiii ne bht naik kaam kiya,Positive
i grateful to ur parents,Positive
thank you so much aunti,Positive
main tou fakhar kar rahi hun,Positive
alhamdulillah,Positive
mai shukar guzar hn ami abu ki,Positive
special mili hon bai mein touuu,Positive
thankyou bolna ami baba ko,Positive
ama ko thanx kehna apni,Positive
still u r my buddy,Positive
aunty fari ko shukria kehna,Positive
tell aunty bauhat shukria,Positive
haha i love u so much meri jan,Positive
thanks to parents,Positive
thankew sooo mch anty,Positive
hahaha ma zaror karu g,Positive
hahaha thk ha g zror krna,Positive
,Positive
phupho thanku,Positive
thank u jaan g,Positive
uncle aunty ka shukriya ada karna d p,Positive
uncle aunty shukriya karna,Positive
lol same to your parents as well,Positive
bht hi na shukari ho waisay,Positive
hahahhaa shokhi,Positive
shukriya shehzadi auntie,Positive
meri maa ko khushi honi,Positive
anyaa ye tmne kha tha mjhe,Positive
lol,Positive
aunty ko shukria kehna d,Positive
okay,Positive
yaar apne mamaki id btaaa,Positive
chor tujhe unki nazar mn girana nhi chahti,Positive
d d bs dil se dil ko raah hoti hai d,Positive
hahahahaha wah,Positive
uncle ko tag kron,Positive
tum kro or agla ghanta bad face to face thanks krna aya ga,Positive
robina aunty ka shukria adda kr dun unhe add kr ke,Positive
heer naqvi,Positive
hassan husnain,Positive
reply kia na,Positive
mjhay nahi tag kia,Positive
ye aunty ko dikha do please d,Positive
uncle aunty ka num de,Positive
haniya khan,Positive
hahaha,Positive
aunty i love you,Positive
zaib usman,Positive
hadia kh,Positive
atiya nisar,Positive
tmhari ami ko b,Positive
haha razzaque bhai ko b,Positive
me b cemnt agency walo ka bra shukrguzar ho hahahah,Positive
aunty bht bht shukriya,Positive
hahahhahah,Positive
heheheh,Positive
tumhari ama ko na,Positive
tag them please,Positive
hahahaha main is main tumhain tag karnay wali thi,Positive
jo chpairh wo maarain agay se uska kya,Positive
anty uncle ko kehna zra,Positive
you too p,Positive
hate u,Positive
seriously ajoobaa,Positive
thank you muchone of a kind hun afteralldd,Positive
lol namoona nai anmol,Positive
apni amma ko prha dena plx,Positive
lkn mea q,Positive
pass on the message,Positive
hahaha ni ye meri traf sy anti ko dikhao,Positive
tmra knsa muun ni ha,Positive
inbox kr dn gi,Positive
say my thanks to uncle and aunty,Positive
love you too my honey,Positive
hahahah,Positive
naughty girl,Positive
hahhahahahha me bhi bolti hn rk,Positive
hahhahahha thanks fakhira parveen aqal deny k liye,Positive
heheee,Positive
aunti add hi ni warna me unki shaan me qaseeday likhta,Positive
hahahaha shukria,Positive
aunty ko shukarya krdena,Positive
hahahaha,Positive
hahahha,Positive
bus is main se ice cream hata do,Positive
miss those midnight snacks,Positive
exactly,Positive
i havent eaten any pizza and burger from last two months and,Positive
ek hi baat hai mai kron ya ap,Positive
soch dekho hamari kitni milti hai,Positive
hahahaha,Positive
kulsoom qureshi,Positive
motuuu mjhe bhi bhej mai bhi jag luga,Positive
my version of dieting,Positive
ye tmhary wali diet,Positive
buahhahaa yeahhh,Positive
we arent haddi shah were smart,Positive
thats what i do,Positive
sta kho sa khwata nakige,Positive
ri da,Positive
mc donaldzzzz,Positive
tu gym khaaaa,Positive
haha,Positive
many kb pochaaa,Positive
uff esi diet,Positive
yumna too bhi shamil hey,Positive
pemra complain ki hum kuch friends nesirf tension na lein practicaly khud kuch krne se hi ho ga,Positive
bilkul sahi kaha,Positive
g bilqul aisy he hai i agree with u,Positive
beshak,Positive
bilkuk sahi kaha faisal qureshi ka kush kadre bhater show ha,Positive
allahtaala ummat pe reham frmayaor ye lodhi jesey khabees logon k sharre sey naai nasal ko apni hifaazat meyn rakheyaameen,Positive
done thanks urdu safhas admin for such initiative,Positive
agr hm awaam he inlog ko ehmiyat dena or dekhna or feed back dena chordenge to ink shows ki koi value nahi rehegi,Positive
hum sab ko milkar pakistan aur islami aqdaar ki hifazat karni hay musalmaan hony ka farz ada krein,Positive
sahil lodhi ka kya ma bap zimadar wo keu apni bchieo ko bhjty in ke ghart kidr hote,Positive
ni ye galat bat h is me sahir lodhi ka koe qasor ni h tv me achi baten b ati han wo to ap log catch ni krty,Positive
sahi baat ha,Positive
bilkul darosat,Positive
bilkul sahi,Positive
bilkul sahi kahaaapñ ey,Positive
bilkul sahi aese morning show ka bnd ho jana hi bhtr he,Positive
bilco yh zaror hona chahey,Positive
bilkul thehk,Positive
bilkul,Positive
beshak zaror krwana chaye,Positive
agreed with attaria qadria,Positive
sare comments bilkul sahi hn m sb ki taed krti hun aur sb k sath hun,Positive
taab too hum khud unn koo saport karay hootay hai,Positive
yar ajkl sakht pareshan hu rozgar ki fikr me bht acha lga parh k,Positive
har taraqi ke leye islam zrori ha,Positive
nhi pta allah or us k rasool saw ki etaat kro,Positive
beshak,Positive
khoob,Positive
boht aalaa,Positive
jis na kha ha ci kha ha,Positive
prime_minster ki kursi chahye kitna yaqeen_nazm_o_zabt or lagan chahye hogi,Positive
allah ki raza mandi ke bagir koi cheez hasil nahi ki jasakti chahe insan kitna hi yaqeen or nazmosabt ke saath hasil karne ki koshish karle,Positive
dil ko sukoon deney wali tehreer kash aesa wagat dobara aa jaey,Positive
jis ne likha he bohat behtareen likha wah wah,Positive
same thing k aik bunda chauti burai ko sahi samajh k kerta hay to wo bari burai ko asan samajh leta hay bacho ko roshnash karana apnay tahafuz k lye buri baat nahi,Positive
bilkul right,Positive
jis nay asbiat ki taraf dawat di us nay zulm ki taraf dawat di yehi asbiat to pehlay east pakistan ko kha gar ab baki ko kha rahi hai,Positive
ap hongi hum tou muhabbat bantnay walay hy we beleieve in equal rights,Positive
such kaha,Positive
lol is page waly ki dp dekh or bat kia karaha yeh,Positive
iss mein koi burai nahi,Positive
iss mein koi burai nahi hey,Positive
hidayat ki dua kije or roye aise logi par tv me dikhane se kuch nahi hoga agar aap rokne ki takat rakhti he to rokiye varna dil me bura janiye lekin uske gunaho ko kisi pe ujagar mat kariye yeh allah or bannde ka maam la he bas uske liye astag far kariya or meri bato ka bura laga ho to mujhe bhi maaf kijiye,Positive
aik hadees hey moman kabhi laan taan nahin karta,Positive
ye follow nh kr rha unki khushyon m shamil hua h bs,Positive
bilawal allah tumain salamat rakhey,Positive
namaz qaim kro kiun k namaz behayai sy rokti hai islam mein hukam k sath reasoning bhi hai bss aqal mand logo k liye he nishaniyan hai aur wohi samjhty hain inko,Positive
aur islaam mein soor ka goosht khana haram hailehaza kiun k uss mein bht harmful steroids hty jo insaani jism ko sakht nuksaan pohnchaty aur islaam mein hr wo cheez mana hai jiska insaan ko nuqsaan hai,Positive
wah zbrdst,Positive
thek allah pak ka koi b hukam maslehat k baghair nai,Positive
australia me shawal ka chand nazar aa gaya kal eid hogi,Positive
pm nawazsharif ki nawasi mehar u nisa safdar aur raheel munir ka nikah masjid nabvi mein munaqid pm samait ahal e khana ki shirkat,Positive
sub se zaiyda mein jagah hazrat mosa a s ka zikar aya hain,Positive
tareef kiya huwa,Positive
har musalman mard aurat ghulam aazad chotay baray par namaz e eid se pehlay sadqa e fitr dena lazim hai,Positive
ap sb ki shirkat ka shukrya,Positive
mullah umar ne afghan hukomat amp taliban muzakrat ki himayat kar di afghanistan se qabzay k khatmay k liye muzakrat jaiz hen paigham,Positive
skin saf krny k liye honey milk or dahi mix kijye is mixture ko mint k liye skin pr laga lijye bad mai saf pani sy dho lijye,Positive
samnay betha tha mere or wo mera na tha,Positive
allah ki naimaton main sy naimat hy or moqa mily or bach jana yeh,Positive
atc ne march ko giriftar honewale zulficar mirza k guard ko riha karne ka hukum dedia,Positive
apny bhai ki madad karo,Positive
islam musalmano k ilam ka naam nhe un k amal ka naam hy yani islam bolny wali baat nhe karny wala kaam hy,Positive
main aaj se hi bicha doon us raah pe palken,Positive
cheze halos e dil k sat karni chahey,Positive
raham karam dua,Positive
es ki bunyad kalma tayyaba par hain,Positive
